username;password;role;jmlcandi
Bondowoso;cintaroro;bandung_bondowoso;0
Roro;gasukabondo;roro_jonggrang;0
tes1;login;pengumpul;0
tes2;login;pengumpul;0
tes3;login;pembangun;2
tes4;login;pembangun;2
tes5;login;pembangun;1
tes6;login;pembangun;1
tes7;login;pembangun;1
tes8;login;pembangun;1
tes9;login;pembangun;1
tes10;login;pembangun;1
tes11;login;pembangun;1
tes12;login;pembangun;1
tes13;login;pembangun;1
tes14;login;pembangun;1
tes15;login;pembangun;1
tes16;login;pembangun;1
tes17;login;pembangun;1
tes18;login;pembangun;1
tes19;login;pembangun;1
tes20;login;pembangun;1
tes21;login;pembangun;1
tes22;login;pembangun;1
tes23;login;pembangun;1
tes24;login;pembangun;1
tes25;login;pembangun;1
tes26;login;pembangun;1
tes27;login;pembangun;1
tes28;login;pembangun;1
tes29;login;pembangun;1
tes30;login;pembangun;1
tes31;login;pembangun;1
tes32;login;pembangun;1
tes33;login;pembangun;1
tes34;login;pembangun;1
tes35;login;pembangun;1
tes36;login;pembangun;1
tes37;login;pembangun;1
tes38;login;pembangun;1
tes39;login;pembangun;1
tes40;login;pembangun;1
tes41;login;pembangun;1
tes42;login;pembangun;1
tes43;login;pembangun;1
tes44;login;pembangun;1
tes45;login;pembangun;1
tes46;login;pembangun;1
tes47;login;pembangun;1
tes48;login;pembangun;1
tes49;login;pembangun;1
tes50;login;pembangun;1
tes51;login;pembangun;1
tes52;login;pembangun;1
tes53;login;pembangun;1
tes54;login;pembangun;1
tes55;login;pembangun;1
tes56;login;pembangun;1
tes57;login;pembangun;1
tes58;login;pembangun;1
tes59;login;pembangun;1
tes60;login;pembangun;1
tes61;login;pembangun;1
tes62;login;pembangun;1
tes63;login;pembangun;1
tes64;login;pembangun;1
tes65;login;pembangun;1
tes66;login;pembangun;1
tes67;login;pembangun;1
tes68;login;pembangun;1
tes69;login;pembangun;1
tes70;login;pembangun;1
tes71;login;pembangun;1
tes72;login;pembangun;1
tes73;login;pembangun;1
tes74;login;pembangun;1
tes75;login;pembangun;1
tes76;login;pembangun;1
tes77;login;pembangun;1
tes78;login;pembangun;1
tes79;login;pembangun;1
tes80;login;pembangun;1
tes81;login;pembangun;1
tes82;login;pembangun;1
tes83;login;pembangun;1
tes84;login;pembangun;1
tes85;login;pembangun;1
tes86;login;pembangun;1
tes87;login;pembangun;1
tes88;login;pembangun;1
tes89;login;pembangun;1
tes90;login;pembangun;1
tes91;login;pembangun;1
tes92;login;pembangun;1
tes93;login;pembangun;1
tes94;login;pembangun;1
tes95;login;pembangun;1
tes96;login;pembangun;1
tes97;login;pembangun;1
tes98;login;pembangun;1
tes99;login;pembangun;1
